iter	Passed	Remaining
660	1068	548
661	1070	546
662	1071	544
663	1073	543
664	1075	541
665	1077	540
666	1078	538
667	1080	537
668	1082	535
669	1083	533
670	1085	532
671	1087	530
672	1088	529
673	1090	527
674	1091	525
675	1093	524
676	1095	522
677	1097	521
678	1098	519
679	1100	517
680	1102	516
681	1103	514
682	1105	513
683	1107	511
684	1109	510
685	1111	508
686	1112	507
687	1114	505
688	1116	504
689	1118	502
690	1119	500
691	1121	499
692	1123	497
693	1124	495
694	1126	494
695	1128	492
696	1129	491
697	1131	489
698	1132	487
699	1134	486
700	1136	484
701	1137	483
702	1139	481
703	1141	479
704	1142	478
705	1144	476
706	1146	474
707	1147	473
708	1150	472
709	1152	470
710	1153	469
711	1155	467
712	1157	466
713	1159	464
714	1161	463
715	1163	461
716	1165	460
717	1167	458
718	1169	456
719	1170	455
720	1172	453
721	1174	452
722	1175	450
723	1177	448
724	1178	447
725	1180	445
726	1181	443
727	1183	442
728	1185	440
729	1186	439
730	1188	437
731	1190	435
732	1192	434
733	1194	432
734	1196	431
735	1198	429
736	1199	428
737	1201	426
738	1203	425
739	1205	423
740	1206	421
741	1208	420
742	1210	418
743	1211	416
744	1213	415
745	1214	413
746	1216	412
747	1218	410
748	1220	408
749	1221	407
750	1223	405
751	1225	404
752	1226	402
753	1228	400
754	1230	399
755	1231	397
756	1233	395
757	1234	394
758	1236	392
759	1237	390
760	1239	389
761	1241	387
762	1242	385
763	1244	384
764	1245	382
765	1247	381
766	1249	379
767	1250	377
768	1252	376
769	1254	374
770	1255	373
771	1257	371
772	1259	369
773	1260	368
774	1262	366
775	1264	364
776	1265	363
777	1267	361
778	1268	359
779	1270	358
780	1272	356
781	1273	355
782	1276	353
783	1278	352
784	1279	350
785	1281	348
786	1282	347
787	1284	345
788	1286	343
789	1287	342
790	1289	340
791	1291	339
792	1293	337
793	1294	335
794	1296	334
795	1297	332
796	1299	330
797	1301	329
798	1302	327
799	1304	326
800	1305	324
801	1307	322
802	1309	321
803	1310	319
804	1312	317
805	1314	316
806	1315	314
807	1317	313
808	1318	311
809	1320	309
810	1322	308
811	1323	306
812	1325	304
813	1327	303
814	1329	301
815	1330	300
816	1332	298
817	1334	296
818	1335	295
819	1337	293
820	1339	291
821	1340	290
822	1342	288
823	1343	287
824	1345	285
825	1347	283
826	1348	282
827	1350	280
828	1351	278
829	1353	277
830	1354	275
831	1356	273
832	1358	272
833	1359	270
834	1361	268
835	1362	267
836	1364	265
837	1365	264
838	1367	262
839	1369	260
840	1370	259
841	1372	257
842	1374	255
843	1375	254
844	1377	252
845	1378	250
846	1380	249
847	1381	247
848	1383	246
849	1385	244
850	1386	242
851	1388	241
852	1389	239
853	1391	237
854	1392	236
855	1394	234
856	1396	232
857	1397	231
858	1399	229
859	1400	228
860	1402	226
861	1404	224
862	1406	223
863	1407	221
864	1409	219
865	1410	218
866	1412	216
867	1414	215
868	1415	213
869	1417	211
870	1419	210
871	1421	208
872	1422	206
873	1424	205
874	1425	203
875	1427	202
876	1429	200
877	1430	198
878	1432	197
879	1433	195
880	1435	193
881	1437	192
882	1438	190
883	1440	189
884	1442	187
885	1444	185
886	1446	184
887	1447	182
888	1449	180
889	1451	179
890	1452	177
891	1454	176
892	1455	174
893	1457	172
894	1458	171
895	1460	169
896	1462	167
897	1463	166
898	1465	164
899	1466	162
900	1468	161
901	1470	159
902	1471	158
903	1473	156
904	1474	154
905	1476	153
906	1478	151
907	1480	149
908	1482	148
909	1484	146
910	1486	145
911	1488	143
912	1490	142
913	1492	140
914	1494	138
915	1497	137
916	1499	135
917	1501	134
918	1505	132
919	1511	131
920	1517	130
921	1521	128
922	1524	127
923	1526	125
924	1528	123
925	1530	122
926	1533	120
927	1535	119
928	1537	117
929	1539	115
930	1541	114
931	1543	112
932	1545	110
933	1546	109
934	1548	107
935	1549	105
936	1551	104
937	1553	102
938	1554	101
939	1556	99
940	1557	97
941	1559	96
942	1561	94
943	1562	92
944	1564	91
945	1565	89
946	1567	87
947	1569	86
948	1570	84
949	1572	82
950	1574	81
951	1575	79
952	1577	77
953	1578	76
